Score,,,,,,,,,,
1 CSR Strategy Score,0.081008725,,,,,,,,,
2 Community Score,,0.118515335,,,,,,,,
3 ESG Controversies Score,,,-0.133978187,,,,,,,
4 Emissions Score,,,,0.180447381,,,,,,
5 Environmental Innovation Score,,,,,0.111204275,,,,,
6 Human Rights Score,,,,,,0.112472429,,,,
7 Product Responsibility Score,,,,,,,0.085349714,,,
8 Resource Use Score,,,,,,,,0.153946724,,
9 Shareholders Score,,,,,,,,,-0.002656254,
10 Workforce Score,,,,,,,,,,0.191556022
