1 CSR Strategy Score,0.418497877,0.577575816,0.42333019,0.476431848,0.38174162,0.468337514,0.479635715,0.379236012,0.471007432,0.42596322,0.508835147,0.423320898,0.510761894,0.450920018,0.451007856,0.694998645,0.514904427,0.681435688,0.552638428,0.564627023,0.594344301,0.474837171,0.385084561,0.47706117,0.42458069,0.424791296,0.447583332,0.555025002,0.485799571,0.383177844,0.475897156,0.428687233,0.429762274,0.451339973,0.554020002,0.425991697,,,,,,,,,
2 Community Score,0.67709418,0.60649366,0.822081119,0.687948317,0.858614991,0.823661531,0.638513437,0.828757273,0.791568504,0.844769403,0.706540858,0.882023085,0.859484581,0.879695789,0.871781852,0.606165033,0.836669258,0.803333811,0.829043904,0.804089076,0.897497535,0.682638403,0.855699904,0.8270751,0.875334938,0.838157602,0.89334864,0.862233363,,,,,,,,,0.675811625,0.860095652,0.813562365,0.851430492,0.825800783,0.87866384,0.829792739,0.847731412,
3 ESG Controversies Score,0.650055623,0.581790044,0.65928885,0.626634329,0.677588007,0.636635087,0.62200408,0.678391823,0.633204633,0.660465069,0.741948435,0.776062897,0.745315782,0.771693134,0.770917583,0.546806094,0.617517311,0.566361115,0.611869782,0.603612496,0.726445884,,,,,,,,0.647114114,0.688829236,0.648100752,0.671351031,0.671298465,0.779828137,0.623093735,,0.622659719,0.696369537,0.644021405,0.653339593,0.654426839,0.760452332,0.61297322,,0.664980435
4 Emissions Score,0.231351244,0.14746437,0.310336617,0.22937072,0.363675116,0.304551401,0.206140448,0.349517799,0.288587382,0.348679303,0.183337828,0.311070317,0.259987166,0.306804032,0.302599729,,,,,,,0.203982439,0.336085956,0.277758251,0.338094052,0.320925359,0.303093792,,0.211849393,0.357766416,0.300535741,0.353117777,0.338661572,0.313732374,,0.332405479,0.286555571,0.480429167,0.394287992,0.447526257,0.434528964,0.390323491,,0.4162337,0.437843278
5 Environmental Innovation Score,0.338484128,0.297537353,0.364048506,0.333186718,0.378023229,0.352098756,0.32081544,0.371315922,0.345180442,0.367934348,,,,,,0.261680381,0.322732362,0.298185507,0.316967121,0.318618597,,0.356986217,0.399921931,0.380777042,0.402309315,0.392145529,,0.358429491,0.336377243,0.37807326,0.355253427,0.372429932,0.367555155,,0.329970427,0.399370511,0.340656844,0.414241544,0.370157493,0.386580014,0.37746045,,0.33956429,0.412301673,0.385476096
6 Human Rights Score,0.908716564,0.888425276,0.946274746,0.939623151,0.985591789,0.981333185,,,,,0.903928441,0.97154049,0.949823598,0.977598366,,0.732570983,0.864919682,0.818718397,0.873242901,,0.838360685,0.912565821,0.968032576,0.954283477,0.985321087,,0.965920931,0.846300889,0.857864552,0.951273329,0.938421586,0.973203108,,0.95446041,0.839624133,0.952746501,0.990661068,0.978733137,0.955560558,0.941975072,,0.97067074,0.932263413,0.964707428,0.978986437
7 Product Responsibility Score,0.864378385,0.867985707,0.919698015,,,,0.836032181,0.883032478,0.882219462,,0.959947897,0.98293669,0.990373252,,0.977958309,0.986245004,0.988312853,0.965314054,,0.986209731,0.878758905,0.836199691,0.877297959,0.8872043,,0.861158982,0.972241739,0.986203479,0.921149194,0.9203313,0.932440005,,0.904696302,0.992191906,0.976164442,0.897307143,0.832805332,0.906016144,0.860704539,,0.852062384,0.968623911,0.95686197,0.856307801,0.896833143
8 Resource Use Score,0.537001765,,,0.599249014,0.702696195,,0.580587929,0.68788957,,0.739783774,0.527218281,0.669033795,,0.683865019,0.680470438,0.342159657,0.559937143,,0.57699229,0.56179455,0.520263089,0.549648449,0.670608109,,0.707964421,0.694989362,0.66442842,0.537133505,0.547233226,0.685178058,,0.726640986,0.714109691,0.676415323,0.568310556,0.689187816,0.756416727,0.873314128,,0.932571713,0.924623186,0.859401984,0.720452296,0.884886251,0.906764541
9 Shareholders Score,,0.686846039,,0.807969384,,0.788781698,0.777102023,,0.767319355,0.849144494,0.912367061,,0.88824058,0.955357005,0.950051066,0.893360492,,0.844285222,0.92779557,0.913564115,0.930131816,0.837956217,,0.81802232,0.899072007,0.876615267,0.980333234,0.988506592,0.819967117,,0.791775082,0.861633499,0.846821444,0.965342027,0.944965539,0.89516761,0.637540867,,0.64869343,0.67795871,0.664014484,0.781456415,0.774072391,0.70645603,0.678966166
10 Workforce Score,,,0.355306969,,0.424443225,0.376797877,,0.422528249,0.372718535,0.430861848,,0.387012714,0.32394291,0.389214753,0.385397068,,0.27006981,0.179771429,0.271983389,0.254573523,0.222509316,,0.414582679,0.355481251,0.416986005,0.41714184,0.381982796,0.251973657,,0.383174577,0.323104609,0.390023149,0.378873733,0.354350504,0.232338906,0.378594363,,0.474192623,0.450831176,0.482469863,0.489181271,0.435337086,0.314792631,0.47001955,0.436554322
