1 CSR Strategy Score,0.515082175,0.420327985,0.572344516,0.421869134,0.420485434,0.58642647,0.423457396,0.477493401,0.379973837,0.465428757,0.471735573,0.640872795,0.476894932,0.507062756,0.421974281,0.509264188,0.513144559,0.422217915,0.511203799,0.449178967,0.64876483,0.948167208,0.631716554,0.69309758,0.513475015,0.682154378,0.732671873,0.52299359,0.707770858,0.562153561,0.76484716,0.593104117,0.758416818,0.598669901,0.608865852,0.425013466,0.589361531,0.433431135,0.473047354,0.386198676,0.472105908,0.477964749,0.384001751,0.476741945,0.422286671,0.504176663,0.423962382,0.510786903,0.445755833,0.446619577,0.702795075,0.530517699,0.701295347,0.552786173,0.567488103,0.591491741,0.431191861,0.605229904,0.427832631,0.483618213,0.382892147,0.471659615,0.494039738,0.382800572,0.477011765,0.427095088,0.514606485,0.424289258,0.511639204,0.449907048,0.451135954,0.713671182,0.518316562,0.685055286,0.553237086,0.567374755,0.592744264,0.481834489,0.386804998,0.478844169,0.423810395,0.425733416,0.446333804,0.553817869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Community Score,0.625835819,0.698336812,0.624184494,0.836171912,0.652465586,0.572822974,0.809641259,0.666197588,0.853011889,0.815699574,0.712032874,0.646371098,0.868945927,0.706100297,0.882311736,0.851737353,0.680110114,0.875189141,0.847514492,0.872718641,0.613167794,0.502383368,0.817943126,0.59449655,0.833900653,0.785964139,0.540347528,0.811028463,0.765750447,0.799623412,0.653286052,0.889565518,0.870359065,0.863005687,0.866924323,0.694455627,0.626707476,0.843362435,0.711915671,0.881679385,0.850707827,0.657818029,0.847946642,0.815479497,0.869841655,0.719851655,0.894399349,0.875350383,0.896644606,0.885392281,0.631821929,0.862232542,0.837069375,0.860636338,0.832905611,0.916609009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.712935461,0.637497531,0.852927466,0.705575204,0.878769237,0.843957022,0.665510399,0.861218016,0.817945405,0.859434441,0.720447741,0.90150089,0.869640954,0.882345831,0.881567588,0.618884996,0.855486819,0.810813729,0.834656224,0.814395864,0.895284031,0.699546402,0.879650132,0.840195194,0.880126444,0.851067086,0.894712949,0.862104861,,,,,,,,
3 ESG Controversies Score,0.611717467,0.646925552,0.582113382,0.657732781,0.645263586,0.572821765,0.655844078,0.621809816,0.675945668,0.633928184,0.749277608,0.693426765,0.754510079,0.740228707,0.774601355,0.744613857,0.736037423,0.774280046,0.74156648,0.769739536,0.554603946,0.452386806,0.58008155,0.545651501,0.616354948,0.563898075,0.526361723,0.609833713,0.551721078,0.602616922,0.664491638,0.714724052,0.676665559,0.726822482,0.71627318,,,,,,,,,,,,,,,,,,,,,,0.665484118,0.600105264,0.668125195,0.645049299,0.685324572,0.646713669,0.640032306,0.686648888,0.644126291,0.669250461,0.757812517,0.781552746,0.752719761,0.779260302,0.77744331,0.567132113,0.625412273,0.577178593,0.622024389,0.614331743,0.73180882,,,,,,,,0.66729018,0.593781337,0.685464942,0.62224824,0.69400214,0.644935693,0.620474624,0.695968902,0.644788469,0.654538932,0.733462062,0.783501243,0.747871972,0.759000598,0.760731187,0.550575502,0.640915761,0.578622361,0.612480217,0.607164667,0.722869674,,,,,,,,0.64160407,0.70343144,0.655049593,0.662529343,0.66444651,0.767227055,0.623345854,
4 Emissions Score,0.15127558,0.234641286,0.147601634,0.309812387,0.212150966,0.12389345,0.29512126,0.210841471,0.353983227,0.290954249,0.182852615,0.106639276,0.26210136,0.177867574,0.30474913,0.247276544,0.163766069,0.300789625,0.244337142,0.294943409,,,,,,,,,,,,,,,,0.208209834,0.123584423,0.284304885,0.20859615,0.340756686,0.279524238,0.183939174,0.325113486,0.261924566,0.326977788,0.172523666,0.297587475,0.246189529,0.296804834,0.290698906,,,,,,,0.217179665,0.129806786,0.3082777,0.209456025,0.358661918,0.297629058,0.184436664,0.345209537,0.283129255,0.340160787,0.174834581,0.310176618,0.259357685,0.303693815,0.300610177,,,,,,,0.194197945,0.335341164,0.277364899,0.334948037,0.318739803,0.303143746,,0.319612135,0.179231016,0.430876635,0.294353915,0.48506836,0.402980739,0.268877688,0.47484445,0.386143112,0.445515897,0.231428912,0.411980172,0.333215693,0.384535029,0.383442607,,,,,,,0.262467385,0.452088317,0.364024985,0.425812628,0.41051078,0.37869328,,0.270432359,0.478170158,0.392324222,0.442833122,0.43066754,0.390749777,,0.417163976
5 Environmental Innovation Score,0.319237473,0.344360862,0.302173012,0.365140219,0.335637133,0.292143735,0.361888288,0.329448507,0.376206264,0.349565943,,,,,,,,,,,0.262685115,0.20823656,0.305294839,0.253528874,0.31611776,0.283733569,0.250161439,0.318707278,0.290185685,0.310429185,,,,,,0.366029246,0.33167594,0.392439154,0.366850758,0.406094304,0.385525451,0.353449071,0.398236748,0.378234624,0.400316324,,,,,,0.296309542,0.351837663,0.334267512,0.350718871,0.353223913,,0.347151408,0.308815759,0.369431832,0.336842959,0.379549953,0.354727941,0.332300339,0.376516341,0.35273853,0.370200947,,,,,,0.272861296,0.327006871,0.30468984,0.319549723,0.325371345,,0.366831476,0.403621081,0.386549102,0.403428503,0.397513638,,0.362406587,0.37676013,0.317872443,0.40617336,0.350298945,0.417648189,0.37782202,0.338331683,0.412918309,0.369452022,0.386254945,,,,,,0.272763264,0.358573407,0.313869326,0.334852105,0.335122757,,0.375280641,0.441199362,0.403866674,0.421672817,0.411281201,,0.375238895,0.352087707,0.418335179,0.37734862,0.389292265,0.384120981,,0.345794723,0.417643086
6 Human Rights Score,0.839192888,0.914563034,0.892777791,0.951021219,,,,,,,0.892906783,0.84693996,0.934986676,0.904927229,0.972282971,0.949172649,,,,,0.720460895,0.599830463,0.7991658,0.732045765,0.864971338,0.815034791,,,,,0.67845186,0.843131366,0.774218548,0.829226275,,0.893316898,0.857001073,0.930864693,0.916802956,0.973854513,0.958570363,,,,,0.889863935,0.963592774,0.935527027,0.966782646,,0.695213006,0.844347249,0.78256532,0.846354291,,0.821715849,0.838589842,0.790244336,0.913855098,0.863651849,0.958436332,0.944211744,,,,,0.837647972,0.950944895,0.922691237,0.95348764,,0.635337569,0.834750828,0.77836182,0.835495005,,0.817487523,0.841363097,0.943094311,0.921411101,0.960787661,,0.946389585,0.819584106,0.953525657,0.952285283,0.994795785,0.995316873,0.974213791,0.94933754,,,,,0.95626319,0.989880641,0.987023883,0.969356684,,0.778018962,0.91930658,0.87746219,0.934766035,,0.892524765,0.967949416,0.990344754,0.978190129,0.959897556,,0.981599188,0.905608235,0.916400737,0.997312698,0.9908065,0.970286283,,0.992083173,0.899746534,0.991488517
7 Product Responsibility Score,0.921134294,,,,0.867953549,0.871497606,0.92263125,,,,0.970580693,0.991293394,0.973299674,,,,0.96309701,0.984314239,0.988051235,,0.999543476,0.910214287,0.939516483,,,,0.996813633,0.998198597,0.951122242,,0.849517267,0.884926267,0.80385946,,0.866964466,0.858046918,0.873589945,0.916986018,,,,0.837993876,0.878290453,0.888544371,,0.953939392,0.974492682,0.993687089,,0.973354926,0.995702009,0.98756266,0.949875362,,0.995647683,0.881364038,0.943478171,0.977473073,0.963472485,,,,0.932994493,0.924310549,0.937627194,,0.963784504,0.988479596,0.952588714,,0.988270763,0.898884521,0.970008028,0.908451559,,0.957809189,0.848505894,0.915950036,0.909706065,0.930337824,,0.900448213,0.998975991,0.977235247,0.8876256,0.8528735,0.91993174,,,,0.832460333,0.904616089,0.858237356,,0.95379749,0.996726326,0.984009132,,0.967379985,0.97098512,0.985187905,0.998829848,,0.961149515,0.902622983,0.83413022,0.900765027,0.866112183,,0.854646084,0.963293634,0.964426256,0.914325707,0.938113475,0.906629094,,0.894424949,0.998812728,0.998695487,0.891415078
8 Resource Use Score,,0.54626773,,,0.521181367,,,0.590013708,0.698462736,,0.500657223,,,0.527122761,0.667462477,,0.514477683,0.663501674,,0.679971809,0.317049392,,,0.337312609,0.555492919,,0.301866939,0.538873158,,0.558529829,0.268617722,0.522611132,,0.500288557,0.499277993,0.509974933,,,0.558352301,0.68105477,,0.537275051,0.664602947,,0.7047372,0.502987522,0.654507817,,0.664369946,0.659508581,0.292641114,0.528573798,,0.533875012,0.516087779,0.494476446,0.503852292,,,0.550964262,0.691510765,,0.525478982,0.677134242,,0.721798993,0.492904218,0.663765679,,0.67243885,0.670122301,0.296344807,0.552849097,,0.559850733,0.545394548,0.513960127,0.512690758,0.664730123,,0.696741072,0.682606237,0.658026046,0.529506029,0.699931085,,,0.768828446,0.882984255,,0.75148544,0.874573236,,0.938721577,0.670813715,0.832691794,,0.861527508,0.861393697,0.384049877,0.703441272,,0.722667508,0.70297446,0.635106289,0.710681151,0.848772688,,0.897727657,0.887889583,0.838868175,0.671522623,0.705457953,0.865496445,,0.917836411,0.908389812,0.851476113,0.70859631,0.875247536
9 Shareholders Score,,,0.702801945,,,0.667155717,,0.798470363,,0.783552274,,0.801232639,,0.916423419,,0.885184785,0.900439315,,0.880644023,0.952369282,,0.739047321,,0.89389797,,0.836320869,0.865673046,,0.821864648,0.914367527,0.946012259,,0.983840179,0.942168181,0.943545441,,0.733485386,,0.860105564,,0.834040312,0.82667669,,0.810484063,0.896490238,0.942503113,,0.914744665,0.98374162,0.976633984,0.966293784,,0.905873664,0.990198969,0.975569825,0.892848263,,0.714025867,,0.827833578,,0.798735194,0.804386067,,0.783004074,0.857683392,0.939474461,,0.900736381,0.964219198,0.960905974,0.937511598,,0.863868138,0.941902445,0.932880631,0.919105326,0.866779383,,0.833303237,0.907258287,0.890260854,0.99055781,0.997117387,,0.599919081,,0.655908816,,0.66457408,0.633998448,,0.650063195,0.680762848,0.763171404,,0.763530411,0.782899457,0.782425173,0.79014724,,0.753083188,0.77684339,0.769420106,0.929615435,0.685062596,,0.690976659,0.723341722,0.707345789,0.80745446,0.835824378,0.669009289,,0.665180581,0.687766431,0.678586914,0.7923234,0.791931461,0.719905782
10 Workforce Score,,,,0.353864307,,,0.343698351,,0.418928917,0.36995096,,,0.311855572,,0.385186966,0.322378695,,0.380209168,0.314287505,0.383423712,,,0.169951438,,0.268557322,0.177069567,,0.250011226,0.153854097,0.253083715,,0.221495447,0.12891356,0.219080081,0.202007676,,,0.336948904,,0.410291892,0.352505135,,0.407417107,0.345879311,0.411779367,,0.379019311,0.310510471,0.37978194,0.375121538,,0.250152165,0.152711961,0.250483513,0.230697088,0.211266746,,,0.306237353,,0.38320195,0.323123427,,0.370144104,0.306096512,0.379587344,,0.351712261,0.281826326,0.352240328,0.342217226,,0.230604627,0.138125956,0.228363282,0.203168662,0.194541128,,0.37380515,0.305996864,0.37877201,0.36610643,0.348247188,0.217594302,,,0.424261809,,0.470217741,0.448016425,,0.471607358,0.449180001,0.483396625,,0.428886858,0.382835247,0.43317089,0.433227971,,0.316121338,0.19952487,0.313607668,0.296639665,0.253880495,,0.459527162,0.423048634,0.464020404,0.468727565,0.425562928,0.29082561,,0.431187952,0.390200842,0.43708683,0.431201049,0.397092402,0.269759542,0.424739242
