"('CSR Strategy Score', 'Community Score', 'ESG Controversies Score', 'Emissions Score', 'Environmental Innovation Score', 'Human Rights Score', 'Product Responsibility Score', 'Resource Use Score', 'Shareholders Score', 'Workforce Score')"
-18.29191878
-14.53785685
-8.277837607
34.85079888
16.02830169
-21.4916856
-2.712622706
-22.38822111
-8.876123915
-0.827659237
